URL,Latencia,BL,Type,Answer,Location
http://www.exoticrainforest.com/,0.00173,0,1,TRUE,Local
http://www.exoticrainforest.com/,0.00087,5,1,TRUE,Local
http://www.exoticrainforest.com/,0.00021,10,1,TRUE,Local
https://xn--playstor-ueb.com/HONDA.apk,0.00079,0,0,FALSE,Local
https://xn--playstor-ueb.com/HONDA.apk,0.00066,5,0,FALSE,Local
https://xn--playstor-ueb.com/HONDA.apk,0.00057,10,0,TRUE,Local
http://www.grandwarehouse.com,0.10144,0,1,TRUE,Local
http://www.grandwarehouse.com,0.00081,5,1,TRUE,Local
http://www.grandwarehouse.com,0.00138,10,1,TRUE,Local
http://vn.abcxzy.com:2351/anihlh,0.00031,0,0,FALSE,Local
http://vn.abcxzy.com:2351/anihlh,0.00103,5,0,FALSE,Local
http://vn.abcxzy.com:2351/anihlh,0.00047,10,0,TRUE,Local
http://www.petfinder.com/shelters/tx73.html,0.00029,0,1,TRUE,Local
http://www.petfinder.com/shelters/tx73.html,0.00083,5,1,TRUE,Local
http://www.petfinder.com/shelters/tx73.html,0.00022,10,1,TRUE,Local
http://117.215.214.223:38305/i,0.00044,0,0,FALSE,Local
http://117.215.214.223:38305/i,0.00014,5,0,FALSE,Local
http://117.215.214.223:38305/i,0.00008,10,0,TRUE,Local
http://5.206.227.148/log017/log017.i486,0.00023,0,0,FALSE,Local
http://5.206.227.148/log017/log017.i486,0.00019,5,0,FALSE,Local
http://5.206.227.148/log017/log017.i486,0.00026,10,0,TRUE,Local
http://80.76.51.95/bins/sora.sh4,0.00037,0,0,FALSE,Local
http://80.76.51.95/bins/sora.sh4,0.00029,5,0,FALSE,Local
http://80.76.51.95/bins/sora.sh4,0.00014,10,0,TRUE,Local
http://www.oldash.org.uk/html/factsheets/html/fact10.html,0.00059,0,1,TRUE,Local
http://www.oldash.org.uk/html/factsheets/html/fact10.html,0.00093,5,1,TRUE,Local
http://www.oldash.org.uk/html/factsheets/html/fact10.html,0.00037,10,1,TRUE,Local
http://219.155.85.238:53481/i,0.00036,0,0,FALSE,Local
http://219.155.85.238:53481/i,0.00052,5,0,FALSE,Local
http://219.155.85.238:53481/i,0.00012,10,0,TRUE,Local
http://www.sczetas.com,0.09064,0,1,TRUE,Local
http://www.sczetas.com,0.00172,5,1,TRUE,Local
http://www.sczetas.com,0.00107,10,1,TRUE,Local
http://culinaria-passoapasso.artesanatodosucesso.com/centro/MWXRnPqWKjpu,0.00033,0,0,FALSE,Local
